"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","VersionLastChanged","CHNG_TYPE","DefinitionDescription","STATUS","CONSUMER_NAME","CLASSTYPE","FORMULA","EXMPL_ANSWERS","SURVEY_QUEST_TEXT","SURVEY_QUEST_SRC","UNITSREQUIRED","RELATEDNAMES2","SHORTNAME","ORDER_OBS","HL7_FIELD_SUBFIELD_ID","EXTERNAL_COPYRIGHT_NOTICE","EXAMPLE_UNITS","LONG_COMMON_NAME","EXAMPLE_UCUM_UNITS","STATUS_REASON","STATUS_TEXT","CHANGE_REASON_PUBLIC","COMMON_TEST_RANK","COMMON_ORDER_RANK","HL7_ATTACHMENT_STRUCTURE","EXTERNAL_COPYRIGHT_LINK","PanelType","AskAtOrderEntry","AssociatedObservations","VersionFirstReleased","ValidHL7AttachmentRequest","DisplayName"
"53123-6","Potassium","SRat","1H","Urine","Qn","","CHEM","2.42","MIN","","ACTIVE","","1","","","","","N","1 hour; 1.0Hr; 1HR; 60 min; 60 minutes; 60M; 60min; Chemistry; k; K+; Potass; QNT; Quan; Quant; Quantitative; sRate; Substance Rate; UA; UR; Urn","Potassium 1h Ur-sRate","Both","","","mmol/h","Potassium [Moles/time] in 1 hour Urine","mmol/h","","","","0","0","","","","","","2.24","","Potassium (1H U) [Moles/Time]"
"53558-3","Bacteria","Prid","Pt","Semen","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Ejaculate; Genitourinary; GU; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; Sem; Seminal fluid; Smn; SMPLS; URO; Urology","Bacteria Smn Cult","Both","","","","Bacteria identified in Semen by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","17858","0","","","","","","2.26","","Bacteria identified Cx Nom (Sem)"
"53617-7","Bacteria","Prid","Pt","Duod fld","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Dudf; Duodenal fluid; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Duod fl Aerobe Cult","Both","","","","Bacteria identified in Duodenal fluid by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","18202","0","","","","","","2.26","","Bacteria identified Aer cx Nom (Duod fld)"
"53908-0","Bacteria","Prid","Pt","Esophageal brush","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Esoph Brush; Esophagial brush; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Esoph Brush Cult","Both","","","","Bacteria identified in Esophageal brushing by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","2.26","","Bacteria identified Cx Nom (Esophageal brushing)"
"53911-4","Bacteria","Prid","Pt","Bil fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; BIFL; Bile fluid; Biliary fluid; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Bifl Cult","Both","","","","Bacteria identified in Bile fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","2.26","","Bacteria identified Cx Nom (Bile)"
"54148-2","Autoantibodies","Imp","Pt","Ser","Nar","IF Hep2 substrate","SERO","2.27","MIN","","ACTIVE","","1","","","","","N","ACIF; Anticomplement Immunofluorescence; Auto Ab; FA; Fluorescent antibody; Fluoresent; IFA; Immune fluorescence; Immunoflour; Immunofluor; Immunofluorescence; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Narrative; Point in time; Random; Report; Serology; Serum; SR; Time Resolved Fluorescence; TRF","Auto Ab Ser HEp2 subst-Imp","Observation","","","","Autoantibodies [Interpretation] in Serum by Immunofluorescence (IF) Hep2 substrate Narrative","","","","","0","0","","","","","","2.27","","Autoantibodies IF Hep2 substrate Nar (S) [Interp]"
"54443-7","Echovirus 2 Ab","Titr","Pt","Ser","SemiQn","","MICRO","2.75","MAJ","","ACTIVE","","1","","","","","N","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Dilution factor; Dilution Factor (Titer); Echo; Echo virus; ECV; ECV2; EV; ID; II; Infectious Disease; InfectiousDisease; Microbiology; Point in time; Random; Serum; SmQn; SR; Titer; Titered; Titre; Ttr","ECV2 Ab Titr Ser","Both","","","titer","Echovirus 2 Ab [Titer] in Serum","{titer}","","","","0","0","","","","","","2.27","","Echovirus 2 Ab (S) [Titer]"
"55380-0","West Nile virus Ab","Titr","Pt","Ser","SemiQn","HAI","MICRO","2.75","MAJ","","ACTIVE","","1","","","","","N","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Dilution factor; Dilution Factor (Titer); HEMAGGLUTINATION INHIBITION; HI; ID; Infectious Disease; InfectiousDisease; Microbiology; Point in time; Random; Serum; SmQn; SR; Titer; Titered; Titre; Ttr; WNV","WNV Ab Titr Ser HAI","Both","","","titer","West Nile virus Ab [Titer] in Serum by Hemagglutination inhibition","{titer}","","","","0","0","","","","","","2.27","","West Nile virus Ab HAI (S) [Titer]"
"56714-9","Bacteria","Prid","Pt","Contact lens","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cont lens; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Cont lens Cult","Both","","","","Bacteria identified in Contact lens by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","2.29","","Bacteria identified Cx Nom (Contact lens)"
"56715-6","Bacteria","Prid","Pt","Pericard fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cardio; Cardiology; Cult; Cultures; Heart Disease; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; PCAR; Pericardial Fluid; Point in time; Random","Bacteria Pcar Cult","Both","","","","Bacteria identified in Pericardial fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","2.29","","Bacteria identified Cx Nom (Pericard fld)"
"57355-0","Potassium","SCnc","12H","Urine","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","12 hours; 12HR; Chemistry; k; K+; Level; Potass; QNT; Quan; Quant; Quantitative; Substance Concentration; UA; UR; Urn","Potassium 12h Ur-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in 12 hour Urine","mmol/L","","","","0","0","","","","","","2.29","","Potassium (12H U) [Moles/Vol]"
"57379-0","Potassium","SCnc","2H","Urine","Qn","","CHEM","2.73","MIN","","ACTIVE","","1","","","","","N","120 min; 120 minutes; 120min; 2 hours; 2HR; Chemistry; k; K+; Level; Potass; QNT; Quan; Quant; Quantitative; Substance Concentration; UA; UR; Urn","Potassium 2h Ur-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in 2 hour Urine","mmol/L","","","","16262","0","","","","","","2.29","","Potassium (2H U) [Moles/Vol]"
"57380-8","Potassium","SRat","12H","Urine","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","12 hours; 12HR; Chemistry; k; K+; Potass; QNT; Quan; Quant; Quantitative; sRate; Substance Rate; UA; UR; Urn","Potassium 12h Ur-sRate","Both","","","mEq/12h","Potassium [Moles/time] in 12 hour Urine","mmol/(12.h)","","","","0","0","","","","","","2.29","","Potassium (12H U) [Moles/Time]"
"5769-5","Bacteria","Naric","Pt","Urine sed","Qn","Microscopy.light.HPF","UA","2.73","MIN","","ACTIVE","","1","","","","","Y","#/area; Bact; ID; Infectious Disease; InfectiousDisease; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Bacteria #/area UrnS HPF","Observation","","","/HPF","Bacteria [#/area] in Urine sediment by Microscopy high power field","/[HPF]","","","","190","0","","","","","","1.0","","Bacteria LM.HPF (Urine sed) [#/Area]"
"58940-8","Bacteria","Prid","Pt","TPN","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; Total parental nutrition","Bacteria TPN Cult","Both","","","","Bacteria identified in Total parental nutrition by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","2.32","","Bacteria identified Cx Nom (Total parental nutrition)"
"58996-0","Potassium","SRat","18H","Urine","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","18 hours; 18HR; Chemistry; k; K+; Potass; QNT; Quan; Quant; Quantitative; sRate; Substance Rate; UA; UR; Urn","Potassium 18h Ur-sRate","Both","","","mmol/18 H","Potassium [Moles/time] in 18 hour Urine","mmol/(18.h)","","","","0","0","","","","","","2.32","","Potassium (18H U) [Moles/Time]"
"59162-8","Potassium","SCnc","24H","Stool","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","1 day; 24 hours; 24HR; Bowel movement; Chemistry; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; k; K+; Level; Potass; QNT; Quan; Quant; Quantitative; Stl; Stool = Fecal; Substance Concentration","Potassium 24h Stl-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in 24 hour Stool","mmol/L","","","","0","0","","","","","","2.32","","Potassium (24H Stl) [Moles/Vol]"
"5927-9","Potassium","SCnc","Pt","Dial fld","Qn","","CHEM","2.36","DEL","","DEPRECATED","","1","","","","","","Chemistry; Diaf; Dialysate; Dialysis fluid; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Deprecated Potassium Dial fld-sCnc","","","","","Deprecated Potassium [Molecules/volume] in Dialysis fluid","","Duplicate","","","0","0","","","","","","1.0b","","Potassium (Dial fld) [Moles/Vol]"
"595-9","Bacteria","Prid","Pt","Abscess","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Absc; Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; UniversalLabOrders","Bacteria Absc Aerobe Cult","Both","","","","Bacteria identified in Abscess by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","3258","218","","","","","","1.0","","Bacteria identified Aer cx Nom (Abscess)"
"596-7","Bacteria","Prid","Pt","Amnio fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","AF; Amn; Amn fl; Amnio; Amniotic flu; Amniotic fluid; Bact; C&S; Cult; Cultures; Gyn; Gynecology; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; OB; ObGyn; Obstetrics; Point in time; Random","Bacteria Amn Cult","Both","","","","Bacteria identified in Amniotic fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","1.0","","Bacteria identified Cx Nom (Amn fld)"
"59733-6","Potassium","MCnt","Pt","Tiss","Qn","","DRUG/TOX","2.70","MIN","","ACTIVE","","1","","1 mEq/g","","","N","DRUG/TOXICOLOGY; Drugs; k; K+; Mass content; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Tissue; Tissue, unspecified","Potassium Tiss-mCnt","Both","","","mEq/g","Potassium [Mass/mass] in Tissue","meq/g","","","","0","0","","","","","","2.32","","Potassium (Tiss) [Mass/Mass]"
"597-5","Bacteria","Prid","Pt","Asp","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Aspirate; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Aspirate Aerobe Cult","Both","","","","Bacteria identified in Aspirate by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","17127","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Asp)"
"598-3","Bacteria","Prid","Pt","Asp","Nom","Anaerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Anaero; Anaerobe; Anaerobe Cult; Aspirate; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Aspirate Anaerobe Cult","Both","","","","Bacteria identified in Aspirate by Anaerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","1.0","","Bacteria identified Anaer cx Nom (Asp)"
"599-1","Bacteria","Prid","Pt","^BPU","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; Blood product unit; Blood Product Unit (Pack); C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria BPU Aerobe Cult","Both","","","","Bacteria identified in Blood product unit by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","6971","0","","","","","","1.0","","Bacteria identified Aer cx Nom (BPU)"
"60032-0","Bacteria","Prid","Pt","Dial fld prt","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Diaf; DiafP; Dialysate; Dialysis fluid; ID; Identity or presence; Infectious Disease; InfectiousDisease; Kidney; Microbiology; Nephrology; Nominal; Peritoneal Dialysis fluid; Point in time; Random; Renal","Bacteria DiafP Cult","Both","","","","Bacteria identified in Peritoneal dialysis fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","3067","0","","","","","","2.34","","Bacteria identified Cx Nom (Perit dial fld)"
"600-7","Bacteria","Prid","Pt","Bld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; Blood; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; UniversalLabOrders; WB; Whole blood","Bacteria Bld Cult","Both","","","","Bacteria identified in Blood by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","102","8","","","","","","1.0","","Bacteria identified Cx Nom (Bld)"
"60218-5","Potassium","SCnc","Pt","Mmlk","Qn","","CHEM","2.70","MIN","","ACTIVE","","1","","","","","N","Chemistry; k; K+; Level; Mother Milk; Mother's milk; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Potassium Mother Milk-sCnc","Both","","","mmol/L","Potassium [Moles/volume] in Mother's milk","mmol/L","","","","0","0","","","","","","2.34","","Potassium (Mother's milk) [Moles/Vol]"
"602-3","Bacteria","Prid","Pt","Bone","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; BON; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Bone Aerobe Cult","Both","","","","Bacteria identified in Bone by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","7058","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Bone)"
"60257-3","Bacteria","Prid","Pt","Crn","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; C&S; Cornea; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Crn Cult","Both","","","","Bacteria identified in Cornea by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","5182","0","","","","","","2.34","","Bacteria identified Cx Nom (Cornea)"
"60258-1","Bacteria","Prid","Pt","Bone mar","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","N","Bact; BM; BON; Bone marrow; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; MAR; Marrow (bone); Microbiology; minimal angle of resolution; Minimum angle of resolution; Nominal; Point in time; Random","Bacteria Mar Cult","Both","","","","Bacteria identified in Bone marrow by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","6453","0","","","","","","2.34","","Bacteria identified Cx Nom (BM)"
"603-1","Bacteria","Prid","Pt","Burn","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; Brn; Burn; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Burn Cult","Both","","","","Bacteria identified in Burn by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","1793","0","","","","","","1.0","","Bacteria identified Cx Nom (Burn)"
"604-9","Bacteria","Prid","Pt","Bronchial","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; Bro; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Lung; Microbiology; Nominal; Point in time; Pulmonary; Pulmonology; Random; Respiratory","Bacteria Bronch Aerobe Cult","Both","","","","Bacteria identified in Bronchial specimen by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","2074","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Bronch spec)"
"605-6","Bacteria","Prid","Pt","Cnl","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cannula; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Cannula Aerobe Cult","Both","","","","Bacteria identified in Cannula specimen by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Cannula specimen)"
"606-4","Bacteria","Prid","Pt","CSF","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; C&S; Cerebral spinal fluid; Cerebrospinal Fl; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Neuro; Neurology; Nominal; Point in time; Random; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid; UniversalLabOrders","Bacteria CSF Cult","Both","","","","Bacteria identified in Cerebral spinal fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","685","62","","","","","","1.0","","Bacteria identified Cx Nom (CSF)"
"607-2","Bacteria","Prid","Pt","Drain","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Drn; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random","Bacteria Drain Aerobe Cult","Both","","","","Bacteria identified in Drain by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","4773","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Drain)"
"608-0","Bacteria","Prid","Pt","Ear","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Hearing; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Otologic; Point in time; Random; UniversalLabOrders","Bacteria Ear Aerobe Cult","Both","","","","Bacteria identified in Ear by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","2500","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Ear)"
"609-8","Bacteria","Prid","Pt","Eye","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Eyeball; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Occular; Oculis; Ophthalmologic; Optic globe; Point in time; Random; UniversalLabOrders; Vision; Visual","Bacteria Eye Aerobe Cult","Both","","","","Bacteria identified in Eye by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","1230","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Eye)"
"610-6","Bacteria","Prid","Pt","Body fld","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; B/F; Bact; BF; bod; Bodies; Body fluid; Body fluid, unsp; C&S; Cult; Cultures; Fl; Fld; FLU; Fluid; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; UniversalLabOrders","Bacteria Fld Aerobe Cult","Both","","","","Bacteria identified in Body fluid by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","467","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Body fld)"
"611-4","Bacteria","Prid","Pt","Body fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","B/F; Bact; BF; bod; Bodies; Body fluid; Body fluid, unsp; C&S; Cult; Cultures; Fl; Fld; FLU; Fluid; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; UniversalLabOrders","Bacteria Fld Cult","Both","","","","Bacteria identified in Body fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","661","47","","","","","","1.0","","Bacteria identified Cx Nom (Body fld)"
"616-3","Bacteria","Prid","Pt","Line","Nom","Intravascular line culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Intravenous; IV; IV Ln Cult; Ln; Microbiology; Nominal; Point in time; Random","Bacteria Line IV Ln Cult","Both","","","","Bacteria identified in Line specimen by IV Line culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","0","0","","","","","","1.0","","Bacteria identified IV Line culture Nom (Line specimen)"
"617-1","Bacteria","Prid","Pt","Placenta","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Placent; Placental; Point in time; Random","Bacteria Placenta Aerobe Cult","Both","","","","Bacteria identified in Placenta by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid""; Previous Releases: Changed System from Placent to Placenta so that all terms with a System of Placenta are consistent.","10312","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Placenta)"
"618-9","Bacteria","Prid","Pt","Plr fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Lung; Microbiology; Nominal; Pleural; Pleural fluid; Point in time; Pulmonary; Pulmonology; Random; Respiratory; thoracentesis fluid","Bacteria Plr Cult","Both","","","","Bacteria identified in Pleural fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","10751","0","","","","","","1.0","","Bacteria identified Cx Nom (Pleur fld)"
"619-7","Bacteria","Prid","Pt","Periton fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Ascites; Ascitic fluid; Ascitis; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Peritoneal fluid; Point in time; Prt; Random; UniversalLabOrders","Bacteria Prt Cult","Both","","","","Bacteria identified in Peritoneal fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","13017","0","","","","","","1.0","","Bacteria identified Cx Nom (Periton fld)"
"620-5","Bacteria","Prid","Pt","Skin","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Dermatologic; Epidermis; ID; Identity or presence; Infectious Disease; InfectiousDisease; Integument; Microbiology; Nominal; Point in time; Random; Skn","Bacteria Skin Aerobe Cult","Both","","","","Bacteria identified in Skin by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","13157","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Skin)"
"621-3","Bacteria","Prid","Pt","Synv fld","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Joint aspirate; Joint fld; Joint flu; Joint fluid; Microbiology; Nominal; Point in time; Random; Rheum; Rheumatology; SF; SNV; Syn; Syn fl; Synov; Synovial fluid; UniversalLabOrders","Bacteria Snv Cult","Both","","","","Bacteria identified in Synovial fluid by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","9572","0","","","","","","1.0","","Bacteria identified Cx Nom (Syn fld)"
"622-1","Bacteria","Prid","Pt","Sputum","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Lower respiratory; Lung; Microbiology; Nominal; Point in time; Pulmonary; Pulmonology; Random; Respiratory; Spt; Sputum","Bacteria Spt Aerobe Cult","Both","","","","Bacteria identified in Sputum by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","438","0","","","","","","1.0","","Bacteria identified Aer cx Nom (Sput)"
"623-9","Bacteria","Prid","Pt","Sputum","Nom","Cystic fibrosis respiratory culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; C&S; CF Resp Cult; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Lower respiratory; Lung; Microbiology; Nominal; Point in time; Pulmonary; Pulmonology; Random; Resp Cult; Respiratory; Spt; Sputum; UniversalLabOrders","Bacteria Spt CF Resp Cult","Both","","","","Bacteria identified in Sputum by Cystic fibrosis respiratory culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","5110","0","","","","","","1.0","","Bacteria identified Cystic fibrosis respiratory culture Nom (Sput)"
